component,width_m,depth_m,height_m,x_m,plan_y_m,z_m
Living_Media_Console_Front_04_Detail_Satin_Pull,0.016,0.014,0.176,0.0,-0.0,0.0
Living_Media_Console_Recessed_Plinth,0.28,1.99,0.16,3.09,1.85,0.08
Living_Removable_Cove_Trim,0.14,3.65,0.07,0.24,2.0,2.37
Living_Side_Table,0.5,0.5,0.06,0.7,3.65,0.43
Living_Side_Table_Base,0.32,0.32,0.42,0.7,3.65,0.22
Living_Side_Table_Detail_Inlaid_Edge,0.4856,0.4856,0.003,0.0,-0.0,0.0
Living_Sofa_Arm,0.94,0.2,0.48,0.7,0.83,0.54
Living_Sofa_Arm.001,0.94,0.2,0.48,0.7,3.07,0.54
Living_Sofa_Back,0.22,2.3,0.66,0.27,1.95,0.63
Living_Sofa_Back_Cushion_0,0.26,0.65,0.4346,0.43,1.23,0.78
Living_Sofa_Back_Cushion_0_Detail_Face_Welt,0.003,0.6201,0.4111,0.0,-0.0,0.0
Living_Sofa_Back_Cushion_1,0.26,0.65,0.4346,0.43,1.95,0.78
Living_Sofa_Back_Cushion_1_Detail_Face_Welt,0.003,0.6201,0.4111,0.0,-0.0,0.0
Living_Sofa_Back_Cushion_2,0.26,0.65,0.4346,0.43,2.67,0.78
Living_Sofa_Back_Cushion_2_Detail_Face_Welt,0.003,0.6201,0.4111,0.0,-0.0,0.0
Living_Sofa_Platform,0.97,2.3,0.28,0.68,1.95,0.23
Living_Sofa_Platform_Detail_Recessed_Oak_Base,0.873,2.162,0.042,0.0,-0.0,0.0
Living_Sofa_Seat_0,0.79,0.69,0.2224,0.72,1.23,0.47
Living_Sofa_Seat_0_Detail_Upper_Welt,0.7531,0.6581,0.003,0.0,-0.0,0.0
Living_Sofa_Seat_1,0.79,0.69,0.2224,0.72,1.95,0.47
Living_Sofa_Seat_1_Detail_Upper_Welt,0.7531,0.6581,0.003,0.0,-0.0,0.0
Living_Sofa_Seat_2,0.79,0.69,0.2224,0.72,2.67,0.47
Living_Sofa_Seat_2_Detail_Upper_Welt,0.7531,0.6581,0.003,0.0,-0.0,0.0
Living_TV,0.055,1.22,0.7,3.3,1.85,1.24
Living_TV_Detail_Bezel,0.003,1.1958,0.6872,0.0,-0.0,0.0
Main_Bedroom_Bed_Base,1.68,2.1,0.32,11.3,1.35,0.22
Main_Bedroom_Bed_Base_Detail_Recessed_Foot,1.3944,1.806,0.048,0.0,-0.0,0.0
Main_Bedroom_Bed_Base_Detail_Upper_Shadow_Reveal,1.6591,2.0732,0.003,0.0,-0.0,0.0
Main_Bedroom_Bedside,0.4,0.4,0.07,10.24,0.75,0.48
Main_Bedroom_Bedside.001,0.4,0.4,0.07,12.34,0.75,0.48
Main_Bedroom_Bedside.001_Detail_Inlaid_Edge,0.389,0.389,0.003,0.0,-0.0,0.0
Main_Bedroom_Bedside_Base,0.26,0.26,0.44,10.24,0.75,0.24
Main_Bedroom_Bedside_Base.001,0.26,0.26,0.44,12.34,0.75,0.24
Main_Bedroom_Bedside_Detail_Inlaid_Edge,0.389,0.389,0.003,0.0,-0.0,0.0
Main_Bedroom_Duvet,1.615,1.55,0.099,11.3,1.55,0.635
Main_Bedroom_Mattress,1.6,2.0,0.2527,11.3,1.35,0.48
Main_Bedroom_Mattress_Detail_Lower_Piping,1.4906,1.8626,0.003,0.0,-0.0,0.0
Main_Bedroom_Mattress_Detail_Sewn_Edge,1.5802,1.9746,0.003,0.0,-0.0,0.0
Main_Bedroom_Mattress_Detail_Upper_Piping,1.4906,1.8626,0.003,0.0,-0.0,0.0
Main_Bedroom_Upholstered_Headboard,1.76,0.1,1.1,11.3,0.29,0.7
Main_Bedroom_Upholstered_Headboard_Detail_Panel_Seam_1,0.002,0.0025,0.946,0.0,-0.0,0.0
Main_Bedroom_Upholstered_Headboard_Detail_Panel_Seam_2,0.002,0.0025,0.946,0.0,-0.0,0.0
Main_Bedroom_Wardrobe_Carcass,0.6,1.55,2.23,12.23,3.4,1.215
Main_Bedroom_Wardrobe_Front_01,0.022,0.5107,2.222,11.919,2.8833,1.215
Main_Bedroom_Wardrobe_Front_01_Detail_Satin_Pull,0.016,0.014,0.36,0.0,-0.0,0.0
Main_Bedroom_Wardrobe_Front_02,0.022,0.5107,2.222,11.919,3.4,1.215
Main_Bedroom_Wardrobe_Front_02_Detail_Satin_Pull,0.016,0.014,0.36,0.0,-0.0,0.0
Main_Bedroom_Wardrobe_Front_03,0.022,0.5107,2.222,11.919,3.9167,1.215
